uuid,Members,Answers,Fully specified name:fr,Fully specified name:en,Short name:fr,Short name:en,Data class,Data type,_version:1,_order:1269
075c25a7-bc4b-413a-a7d7-452ca7bb7c1b,,,Tete Effilée ou allongée,Tapered or elongated head,Tete Effilée ou allongée,Tapered or elongated head,Misc,N/A,,
c0193295-cc67-43d8-835c-44e35cd508bd,,,Tete Amincie,Thinned head,Tete Amincie,Thinned head,Misc,N/A,,
afea3a50-7061-4f96-9678-f43269ec4feb,,,Tete Microcéphalé,Microcephalic head,Tete Microcéphalé,Microcephalic head,Misc,N/A,,,,,,
8e463397-d3aa-4194-8444-bcaa74943a2f,,,Tete Dupliquée,Duplicated head,Tete Dupliquée,Duplicated head,Misc,N/A,,
ad0e3d13-1ff7-48af-bb08-5d856b58c187,,,Tete Binuclée,Binucleated head,Tete Binuclée,Binucleated head,Misc,N/A,,
8ae952a3-2c2e-4cc7-9841-7c99c21f1adb,,,Tete Irregulier,Irregular head,Tete Irregulier,Irregular head,Misc,N/A,,
b8219758-a6fe-407f-80ee-4c3036dc1f21,,,Tete acéphale,Acephalic head,Tete acéphale,Acephalic head,Misc,N/A,,,,,,
d465d949-ec4d-435f-b285-cbedebeba4d6,,,Tete Acrosome (Malformation ou absent),Acrosome head (Malformation or absent),Tete Acrosome (Malformation ou absent),Acrosome head (Malformation or absent),Misc,N/A,,
8d15a770-b0a2-4b33-a2a3-ac69b4c1af2e,,,Tete en lyse,Lytic head,Tete en lyse,Lytic head,Misc,N/A,,

15ab6fb1-b606-45b4-8aa9-57ec8f7ac5b2,,,Coit interrompu,Interrupted Intercourse,Coit Interrompu,Interrupted Intercourse,Misc,N/A,,
134613AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Masturbation,Masturbation,Masturbation,Masturbation,Misc,N/A,,
35d4dc17-0201-4c80-b1b1-ebc96f47fe5f,,,épais,Thick,épais,Thick,Misc,N/A,,
cae57f1d-2fa1-47fa-93f3-3c1204b0bd5f,,,Homogene,Homogeneous,Homogene,Homogeneous,Misc,N/A,,
534cb510-6a99-49ae-9115-b6195585dc52,,,Non Homogene,Non-homogeneous,Non Homogene,Non-homogeneous,Misc,N/A,,
534cb510-6a99-49ae-9115-b6195585dc52,,,Autre méthode,Other method,Autre méthode,Other method,Misc,N/A,,

a6efeb7c-fe53-4a18-864a-3939a1fdefa9,,,acre,Sharp,Non Homogene,acre,Misc,N/A,,
df5a2512-92a2-451a-823a-12a29fbd9011,,,Non Nauséabonde,Non-offensive,Non Nauséabonde,Non-offensive,Misc,N/A,,

84ab4dff-5d45-42cf-b1ad-357d1720131b,,,Jaunatre,Yellowish,Jaunatre,Yellowish,Misc,N/A,,
40f31601-691a-413f-86ff-7df6adde16c0,,,Opalescence,Opalescent,Opalescence,Opalescent,Misc,N/A,,

74ccef05-0252-4c61-89ac-02ece6a605f9,,,Reste du Cytoplame,Remainder of the cytoplasm,Reste du Cytoplame,Remainder of the cytoplasm,Misc,N/A,,
16a8d238-e025-47e9-b5ff-48d94caf3730,,,Angulation,Angulation,Angulation,Angulation,Misc,N/A,,

29039f8a-b5f1-4337-8628-594424e5ade5,,,Ecoulée,Coiled,Ecoulée,Coiled,Misc,N/A,,
ce6f1dc3-8eb0-469d-a069-433765781ba6,,,Enfoulée,Folded,Enfoulée,Folded,Misc,N/A,,
3ae98304-bf90-4d2c-b009-05a98134c9d4,,,Doublée,Doubled,Doublée,Doubled,Misc,N/A,,

