Concept,Member,Member Type,Sort Weight,_version:1,_order:1000
Lab Samples,0166bbd5-8609-4c78-b830-53512a4cbbd3,CONCEPT-SET,1,,
Lab Samples,CIEL:159994,CONCEPT-SET,2,,
Lab Samples,CIEL:1001,CONCEPT-SET,3,,
Lab Samples,CIEL:1004,CONCEPT-SET,4,,
Lab Samples,CIEL:1002,CONCEPT-SET,5,,
Lab Samples,CIEL:163368,CONCEPT-SET,6,,
Lab Samples,CIEL:159995,CONCEPT-SET,7,,
Lab Samples,CIEL:159993,CONCEPT-SET,8,,
Lab Samples,CIEL:160013,CONCEPT-SET,9,,
Lab Samples,CIEL:169081,CONCEPT-SET,10,,
Lab Samples,CIEL:163370,CONCEPT-SET,11,,
Lab Samples,CIEL:169083,CONCEPT-SET,12,,
Lab Samples,4a716a48-08db-4ecb-b1ae-5b528f369d88,CONCEPT-SET,13,,
Lab Samples,CIEL:163350,CONCEPT-SET,14,,
Lab Samples,SNOMED-CT:119376003,CONCEPT-SET,15,,
Lab Samples,CIEL:163364,CONCEPT-SET,16,,
Lab Samples,SNOMED-CT:258524009,CONCEPT-SET,17,,
Lab Samples,SNOMED-CT:119325001,CONCEPT-SET,18,,
Lab Samples,8578dd94-a066-4851-bb9f-1c7c03360d8b,CONCEPT-SET,19,,

Lab Samples,7f6a3068-512a-48cf-8277-3ef49aa35054,CONCEPT-SET,20,,
Lab Samples,5f83b710-1fec-43b4-bfd3-0532baca4dc3,CONCEPT-SET,21,,
Lab Samples,f3cb2b88-8c0b-437b-a69c-0898adf4df1e,CONCEPT-SET,22,,
Lab Samples,49f4ea04-518f-4aa1-b523-7133aacf5d8a,CONCEPT-SET,23,,
Lab Samples,55cfd235-3b29-461c-adab-3a6b8882ebe0,CONCEPT-SET,24,,
Lab Samples,7a47d92e-2474-462e-83b3-c78cd60f0eff,CONCEPT-SET,25,,
Lab Samples,a5242fcd-50b1-4ee0-ba97-62a4852778c5,CONCEPT-SET,26,,
Lab Samples,85eb2e21-8a45-47e1-a0f0-0338270e5b13,CONCEPT-SET,27,,
Lab Samples,a1d2e3f4-5678-4abc-9def-1234567890ab,CONCEPT-SET,28,,
Lab Samples,b2c3d4e5-6789-4abc-9def-2345678901bc,CONCEPT-SET,29,,
Lab Samples,c3d4e5f6-7890-4abc-9def-3456789012cd,CONCEPT-SET,30,,
Lab Samples,9cf62fcc-adb1-4483-9a94-3e6c13760591,CONCEPT-SET,31,,
Lab Samples,726fea38-ad8c-4580-b6d9-c2cef085765a,CONCEPT-SET,32,,

Lab Samples,41dd958d-0064-4ae4-97d3-dd9b9ebacc0b,CONCEPT-SET,33,,
Lab Samples,eca44cb1-d61d-4a6d-93b5-b120f536a140,CONCEPT-SET,34,,
Lab Samples,211092ff-1891-43e3-aac7-928fd4a538d4,CONCEPT-SET,35,,
Lab Samples,c11d979a-2d20-4b5c-a27a-22c52f2d9be0,CONCEPT-SET,36,,
Lab Samples,7e9c5149-d9d5-4f39-887f-d87199bf5baf,CONCEPT-SET,37,,
Lab Samples,8166ade3-0060-479f-a77e-06aac0c853cc,CONCEPT-SET,38,,
Lab Samples,6ae0e78b-3178-4e4c-bfe6-6a4cce70a5d5,CONCEPT-SET,39,,














































